movieId,ranking,year
MdG6JrhK8aFZ,19178,2021
MdG6JrhK8aFZ,19826,2022
MdG6JrhK8aFZ,21522,2023
Q63ylKB5c1Dq,12974,2016
Q63ylKB5c1Dq,14458,2017
Q63ylKB5c1Dq,15767,2018
Q63ylKB5c1Dq,10542,2019
Q63ylKB5c1Dq,12799,2020
Q63ylKB5c1Dq,13708,2021
Q63ylKB5c1Dq,14221,2022
Q63ylKB5c1Dq,15717,2023
qPgvBNrNGo9q,6641,2015
qPgvBNrNGo9q,3265,2016
qPgvBNrNGo9q,3589,2017
qPgvBNrNGo9q,4072,2018
qPgvBNrNGo9q,4185,2019
qPgvBNrNGo9q,4412,2020
qPgvBNrNGo9q,4670,2021
qPgvBNrNGo9q,4794,2022
qPgvBNrNGo9q,2920,2023
1cBekesCVUDi,5316,2022
1cBekesCVUDi,6861,2023
pXv6WEl8NsWt,876,2015
pXv6WEl8NsWt,1010,2016
pXv6WEl8NsWt,884,2017
pXv6WEl8NsWt,720,2018
pXv6WEl8NsWt,718,2019
pXv6WEl8NsWt,683,2020
pXv6WEl8NsWt,680,2021
pXv6WEl8NsWt,693,2022
pXv6WEl8NsWt,930,2023
8HDmeL6vnkxU,8563,2015
8HDmeL6vnkxU,9455,2016
8HDmeL6vnkxU,11934,2017
8HDmeL6vnkxU,13030,2018
8HDmeL6vnkxU,14311,2019
8HDmeL6vnkxU,11200,2020
8HDmeL6vnkxU,11819,2021
8HDmeL6vnkxU,12507,2022
8HDmeL6vnkxU,15058,2023
jlQrBZidGclW,3487,2015
jlQrBZidGclW,3710,2016
jlQrBZidGclW,2936,2017
jlQrBZidGclW,2493,2018
jlQrBZidGclW,2421,2019
jlQrBZidGclW,2488,2020
jlQrBZidGclW,2314,2021
jlQrBZidGclW,2309,2022
jlQrBZidGclW,2222,2023
DzFimbKVjHVz,6799,2015
DzFimbKVjHVz,7535,2016
DzFimbKVjHVz,5240,2017
DzFimbKVjHVz,2390,2018
DzFimbKVjHVz,2557,2019
DzFimbKVjHVz,2702,2020
DzFimbKVjHVz,3137,2021
DzFimbKVjHVz,3171,2022
DzFimbKVjHVz,4238,2023
FDT4ztPE99BL,3336,2019
FDT4ztPE99BL,3355,2020
FDT4ztPE99BL,3561,2021
FDT4ztPE99BL,3672,2022
FDT4ztPE99BL,4713,2023
7CTeJ8kK4TVO,3924,2015
7CTeJ8kK4TVO,4278,2016
7CTeJ8kK4TVO,3509,2017
7CTeJ8kK4TVO,3765,2018
7CTeJ8kK4TVO,3975,2019
7CTeJ8kK4TVO,4635,2020
7CTeJ8kK4TVO,4869,2021
7CTeJ8kK4TVO,5162,2022
7CTeJ8kK4TVO,6038,2023
NJ78khKPkI9D,15848,2017
NJ78khKPkI9D,16343,2018
NJ78khKPkI9D,17618,2019
NJ78khKPkI9D,10155,2020
NJ78khKPkI9D,7006,2021
NJ78khKPkI9D,7117,2022
NJ78khKPkI9D,4302,2023
